Column1,Unnamed: 0,No.,Comment,Label
3700,3700,3701,kenny s mạng shox : ) ),0
5772,5772,5773,đấy,0
2787,2787,2788,- 10 dương,0
4171,4171,4172,omni đấm đau,0
4676,4676,4677,vcl rank 100 awesome,1
7566,7566,7567,gam thua,0
4327,4327,4328,shorty chết,0
4398,4398,4399,stupid2k awesome,0
182,182,183,đcm tâm bát cơm t : ) ),1
684,684,685,map tầm bắn vandal,0
6901,6901,6902,bơm ác,0
2585,2585,2586,tiền kìa,0
2898,2898,2899,458 15 phút : kèo win ? kèo sỉ_nhục !,0
7500,7500,7501,coi_thường a3 bay fb,0
4991,4991,4992,nhục_nhã vcs,1
4202,4202,4203,pick nô_lệ sướng,0
3087,3087,3088,boom lam gi the,0
6534,6534,6535,đánh,0
3475,3475,3476,es dắt chó đi dạo vl awesome,1
4744,4744,4745,win fangay tác_động r awesome,0
1481,1481,1482,youtuber conent,0
7331,7331,7332,toàn bố fan việt r,0
5153,5153,5154,cặc đầu,1
2072,2072,2073,lễ nguyễn te quan thang 1 - 0 hả,0
3683,3683,3684,jbo call,0
3791,3791,3792,lết rune lỗ ta,0
7734,7734,7735,bình_luận hài vãi lồn,1
1726,1726,1727,đừng bodysamsung lạy mấy,0
6262,6262,6263,lành ddữ gòyy,0
5613,5613,5614,đánh ad counter mấy ad,0
6146,6146,6147,azhi tol2 ms debut đầu trường quốc_tế nha,0
3327,3327,3328,cypher cam,0
2328,2328,2329,vãi,1
1346,1346,1347,hq hq giao_tranh công thẳng nòng súng địch xả đạn = ) ),0
7860,7860,7861,veigo chí mạng i a zai,0
4531,4531,4532,tí liken,0
6822,6822,6823,vãi bìu liền,1
6673,6673,6674,dm cast vcs r tận msi ko tien chả chửi trách đ . j nx,1
4948,4948,4949,hảo_lạc quẻ vãi cặc,1
5975,5975,5976,mấy team sbtc esport k nổi,0
4461,4461,4462,tenz,0
2183,2183,2184,mc nhạt vl,2
5597,5597,5598,sốc 2 3 tuỏng xong gòy,0
1648,1648,1649,da hơi đen,0
2190,2190,2191,mê gái,0
6553,6553,6554,sứ_giả,0
1635,1635,1636,cứ bản_đồ bắn 1 2 thua,0
1529,1529,1530,chú ri chx tắt mic,0
6663,6663,6664,tao ap ngon,0
5659,5659,5660,team cọp may,0
1354,1354,1355,bắn_off,0
750,750,751,@ ngọc hoàng trần_ô riot ô,0
6687,6687,6688,clm,1
3582,3582,3583,glitch,0
7612,7612,7613,"blg giấu , elk , xun , yagao , on thay phiên diễn choke , lpl msi",0
1863,1863,1864,gấu_mèo gáy gáy,0
3270,3270,3271,coi trắng màn_hình toàn ván đi = ) ),0
3124,3124,3125,cầm vs feed chiến_thuật hả ngài awesome,0
1514,1514,1515,chỉ vgm vô_địch quốc_tế sgp mãi thần_đồng,0
7398,7398,7399,"đánh , đa_dạng tướng , view",0
1211,1211,1212,1 4 đấy đk,0
213,213,214,vl yoru r,1
4829,4829,4830,địt con_mẹ mày nhẹ ưa,2
2059,2059,2060,,0
538,538,539,luật top 3 vct vn ko dc bắn,0
5624,5624,5625,đại_bác,0
6813,6813,6814,clg đấy,1
2913,2913,2914,múa,0
4318,4318,4319,đích rank 5 ae,0
1713,1713,1714,đối_thủ,0
101,101,102,ác view ác_vậy,0
6434,6434,6435,chiến,0
7029,7029,7030,spam bản_quyền đéo,0
2133,2133,2134,mai leo live r,0
4020,4020,4021,ngài keth,0
3056,3056,3057,đấnh tb hok,0
5893,5893,5894,sante,0
5829,5829,5830,đánh,0
3914,3914,3915,"móa xoay bướm hả , bướm ok nè",0
2956,2956,2957,am vãi,0
3660,3660,3661,how to play,0
5928,5928,5929,"chúng_mày mù_chữ , ghi 19h đánh kìa",2
1641,1641,1642,"cười mấy chê tuyển_thủ đồ , ta ếch đáy giếng = ) )",0
6662,6662,6663,phụ dame ad mày,0
7530,7530,7531,"nổ , chovy dừng farm lính",0
7207,7207,7208,rên ác,1
7976,7976,7977,cười đi ko cười r,0
2492,2492,2493,t lạy sgp,0
3,3,4,cá_rô_phi_ghê_vcl,1
7406,7406,7407,ka thớt ôi ... r khúc cầu_hồn đấy,0
5004,5004,5005,"bá điền 1 bầu_trời , sáng_tạo kỹ_năng bình_luận trở_nên mạnh_mẽ bệnh_tật táo_bón bình_luận ỉa trôi vcl , mãi yêu",2
7285,7285,7286,hồi dame mê đam_mê ko hồi,0
3605,3605,3606,hạnh_phúc đơn_giản 1 sở_thích : ) ),0
2478,2478,2479,skud ulti kia đỡ nổi,0
6853,6853,6854,khiếp bớt toxic,0
1782,1782,1783,fish đánh ngáo,2
5633,5633,5634,1 tác_dụng,0
2004,2004,2005,jzairia mea,0
6680,6680,6681,ak,0
6415,6415,6416,thua 2,0
4046,4046,4047,ngài stone gaze thế_giới vl = ) ),1
5581,5581,5582,kh đánh đc huyết kiếm chi,0
1528,1528,1529,bé đần adc lũ chớp học,2
1069,1069,1070,ae tư_tưởng 2 map,0
7973,7973,7974,bảo sợ kẻ_thù sợ đồng_đội ngu,2
1408,1408,1409,bình pick ryo trận kh nổi r,0
5895,5895,5896,đi đi,0
7183,7183,7184,out trình liềnnn,0
1792,1792,1793,fl mấy,0
2332,2332,2333,non,0
6671,6671,6672,lui,0
8006,8006,8007,yagao học dốt 0 sách,2
3125,3125,3126,camera hàng_xóm,0
6188,6188,6189,mai gam đánh gg nha,0
4469,4469,4470,thằng bm sai r,0
940,940,941,like video dùm dế nha ! !,0
4103,4103,4104,ngài người_ta đuổi cmnr : ) ),2
4315,4315,4316,hồi máu nhanh_vậy,0
7920,7920,7921,mấy game tùy tâm_lí ko bt trc dc,0
5211,5211,5212,trời oi,0
7762,7762,7763,xong game : ) ),0
5288,5288,5289,mẹ j4 tao đánh,2
7970,7970,7971,báo vãi lồn : ) ) ),1
603,603,604,thành ko na vs eu hm,0
7884,7884,7885,remake chung_kết r,0
6008,6008,6009,vi,0
2375,2375,2376,pick zip backdoor đê,0
2483,2483,2484,sống dơ nha_sv,2
4853,4853,4854,dbrr,1
4363,4363,4364,skill omni uther_vậy,0
6451,6451,6452,khống_chế,0
664,664,665,game game hả ae,0
5095,5095,5096,mày ashe,0
857,857,858,gầy_time = ) ) ) ),0
2672,2672,2673,vãi flo múa lỗi ? nó ma_chú sốc dame chết,1
7966,7966,7967,tham sưh,0
3951,3951,3952,naviiiiiii,0
5295,5295,5296,tao bầu mày con_mẹ mày nhầm cứt ah ` ` leeshin,2
2583,2583,2584,tiễn biker đài bắc trung_thu viet_nam,0
5640,5640,5641,ad bắn đéo dame,2
842,842,843,nvm : ) ) ) ),0
7228,7228,7229,đánh rank vàng cx căng_thẳng,0
5924,5924,5925,ping cặc đẩy lính chậm vãi lồn,1
4952,4952,4953,bọn se lạc_quan,0
760,760,761,khen round : ) ),0
5775,5775,5776,thằng đàn_bà,1
1515,1515,1516,chỉ đc th,0
308,308,309,coi híu bắn màn_hình : ) ) ) ) ) ) ) ) ),2
2123,2123,2124,má t lạy tụi bây,1
2227,2227,2228,này nhánh thua hả mn,0
327,327,328,vua gay duoc 1 round cai bi va vo mat luon,0
2393,2393,2394,quí báo típ đi,0
6836,6836,6837,gg mẹ đi,1
2463,2463,2464,mùa giải hq giải_tán,0
7552,7552,7553,tanker 2023 xanh,0
4420,4420,4421,tẩm quát kiên_lương,0
662,662,663,chắc_chắn hack,0
2338,2338,2339,ở lắm bọn ng ` thái tiếng việt_nhỉ,2
8010,8010,8011,"hãy hoàng luân , an kết_hợp bình_luận đức làm_ơn ! ! ! ! ! ! ! ! ! !",0
5338,5338,5339,thic,0
769,769,770,vào liền,0
3254,3254,3255,vy nghi đấm mồm,0
4578,4578,4579,tp vcl ...,1
1063,1063,1064,đờ đi đi,0
4633,4633,4634,ulti xong rubick cướp,0
1831,1831,1832,fnc derke kiểu 50 % sức_mạnh,0
2639,2639,2640,trông ly ly ghê_z,2
6152,6152,6153,mày,0
3316,3316,3317,kennys cx bắn vs jack,0
2858,2858,2859,2 core hiếp_dâm 1 sup . tội_ngài,1
6236,6236,6237,tao,0
3987,3987,3988,ngài bao h farm,0
5116,5116,5117,pha kéo sp vô,0
2735,2735,2736,vua gay duoc 1 round cai bi va vo mat luon,0
4189,4189,4190,pepsi ? not a fan,0
1378,1378,1379,báo thủ jiro trưởng_thành òi,0
3945,3945,3946,nahc cc town,1
840,840,841,see,0
1742,1742,1743,ea,0
7998,7998,7999,ẩu vãi lồn mắt vô bãi sói,1
6950,6950,6951,căng_thế,0
7304,7304,7305,"dk đi msi đánh thú_vị , th già thời boi 1 champ nautilus cầm mỏ_neo đi vuốt râu bẩn mắt ",2
6433,6433,6434,camp sủa ác thịt,1
1960,1960,1961,hq giao_tranh kém fl ...,0
4151,4151,4152,nyx tham damge = ) ) ) ),0
2834,2834,2835,10h bomman vs conbonhi96 cast nhá = ) ),0
6516,6516,6517,bá_điền im đi bl lồn,2
5656,5656,5657,tris mid tele,0
2798,2798,2799,""" ngại lắm "" - quote that changed the_world",0
3552,3552,3553,get chym,0
1930,1930,1931,hev nguuuuuuuuuu,2
7886,7886,7887,game out trình game nhạt,0
4708,4708,4709,vl thg cypher vcl,1
5253,5253,5254,châu hồ mồ vôi,0
5634,5634,5635,sủa,1
6085,6085,6086,,0
329,329,330,chiến_thuật bầy đàn : ),0
3586,3586,3587,"gọi xe cấp_cứu , chở đi đi",0
3219,3219,3220,clm speed up đời nx,1
5531,5531,5532,đứng cover tao,0
2603,2603,2604,toàn mấy th bắn_bot,0
7523,7523,7524,yado kinh,0
7847,7847,7848,"tự_hào , ngạo_nghễ gundam bố giải cỏ , tg cook",0
3746,3746,3747,lạ lol j,1
1571,1571,1572,cố bình,0
3840,3840,3841,mai ngài off stream boot camp,0
6002,6002,6003,lồn op ngu vãi lồn,2
6131,6131,6132,mày ad ad,0
4639,4639,4640,utube chậm 5p 360,0
1151,1151,1152,map 1 căng vl,1
2865,2865,2866,2 thằng tranh mid : ) ),0
7760,7760,7761,tí giết levi win,0
4440,4440,4441,team kia ngài vua mát thả free farm late game đc mát free,0
4412,4412,4413,tách đồ ...,0
7277,7277,7278,30 xác r,0
1750,1750,1751,èo èo éo,0
3084,3084,3085,body ?,0
1477,1477,1478,c4 solo mp40 vs nero . c4 win . súng k bt . dòng tiểu_liên dám out trình lun,0
6,6,7,ngợp vl r,1
587,587,588,vs vn toàn chuộng game,0
7186,7186,7187,dai đỉa z = ) ) ),1
1248,1248,1249,5h chiều đánh chung_kết,0
2818,2818,2819,1 kiểu giao_lưu chung_kết line up ngẫu_nhiên,0
5006,5006,5007,hàn_thải,0
2298,2298,2299,mặt,0
7551,7551,7552,gam thua nhuc xong loi se vao : ) ),0
2246,2246,2247,ng 1 đàn thằng dịch dịch . ko bỏ_qua : ) ),0
3323,3323,3324,cuop,0
1466,1466,1467,bùn ngủ vải,0
5074,5074,5075,rủa đi vận,0
1820,1820,1821,flo kinh vc,1
7161,7161,7162,chiến_thế,0
6881,6881,6882,ko đeo khẩu_trang hả,0
1879,1879,1880,góc đẹp,0
2400,2400,2401,thế_giới ko fl hq đi,0
3096,3096,3097,bữa thằng krish ấn bảo,0
725,725,726,4 - 5k ko,0
2669,2669,2670,sgp,0
4091,4091,4092,nhầm game r,0
2920,2920,2921,ad damage,0
2263,2263,2264,nghỉ,0
1989,1989,1990,indo thái lỏng,0
3083,3083,3084,body nhấn,0
7164,7164,7165,tưởng r = ) ) ),0
6978,6978,6979,đồ long đao,0
1769,1769,1770,fan bồn lình ẳng t,2
2129,2129,2130,mackky đánh out trình,0
7321,7321,7322,nhện nhịp_độ nashor k tệ,0
5443,5443,5444,ng đánh,0
5689,5689,5690,mắt_mũi chán,1
378,378,379,fnatoac retake kiểu suốt,0
565,565,566,đc đầu_tư khấm_khá dc,0
3862,3862,3863,mát xong bắn 2 chết awesome,0
6486,6486,6487,chó annie,2
4682,4682,4683,về đích ngôi_sao hi_vọng đi tăng_tốc,0
6399,6399,6400,aguero ?,0
3925,3925,3926,mồm get out bấm w,0
2925,2925,2926,adu ngài pick,1
1288,1288,1289,ai đấy,0
3906,3906,3907,mimosa hả ?,0
7470,7470,7471,"đang chim hông yên , quín mặt dậy bình tỉnh .",0
5663,5663,5664,vl cắm đấy,1
579,579,580,mấy game kiếm đc tiền nói_gì,0
15,15,16,"hôm bữa vs m3c cháy , đen vl",1
3196,3196,3197,chơi kiểu j : ) ) ),0
281,281,282,đọc gay,2
6525,6525,6526,dí thằng ad,0
4299,4299,4300,co ti mana vay,0
8008,8008,8009,thay dùm blv đi - coi tiếng xìu liền,0
155,155,156,pha game vl,1
7929,7929,7930,ad farm tiền thưởng,0
4234,4234,4235,quick cast ko bấm alt b awesome,0
3423,3423,3424,đội_hình g2 cũ : ) ),0
6263,6263,6264,,0
2974,2974,2975,đc 2 sp tưởng,0
5696,5696,5697,nguyên cánh,0
2282,2282,2283,nhạc,0
7418,7418,7419,lam tran nunu_di,0
5036,5036,5037,mấy bố xàm,0
2229,2229,2230,nay team đánh ae,0
6927,6927,6928,gung_gung,0
7804,7804,7805,lowkey ? ? ?,0
1059,1059,1060,bán_độ,0
5257,5257,5258,đánh cặc,1
2868,2868,2869,2 xoài awesome,0
2249,2249,2250,ngắm,0
4036,4036,4037,ngài nuôi bat man tí đấm mồm bọn kia đẹp,2
6460,6460,6461,nụ cười tắt,0
2443,2443,2444,game dead_vậy,0
2793,2793,2794,? ? vl flick đc kìa,1
5196,5196,5197,blue,0
7710,7710,7711,"mấy t2 văn đổ_thừa , đèn chói , chuột đơ bàn_phím liệt nút . mới luân đôn lệch múi_giờ ngủ = ) ) ) ) ) ) ) ) )",0
5422,5422,5423,súc vay,1
3368,3368,3369,đạo nhạc phan_mạnh_quỳnh,0
6318,6318,6319,quên,0
2526,2526,2527,tem bn 46 tem mk 5 - _ -,0
408,408,409,fpx đi thay 3 kẹt visa nát giải eu yếu,0
973,973,974,đêm ... nhức_nhối nỗi_niềm khôn tảtiếng côn_trùng réo_rắt quyện tiếng mưakhép tủi_hờn uất hậncuộc sống bất_công vừaai định_nghĩa thế_gian muôn mặt,0
4777,4777,4778,yên_tâm đi 5 ex g2 tấu hài trở_lên,0
2213,2213,2214,mong top 9 bxh,0
4259,4259,4260,chừng đích,0
2861,2861,2862,2 mid : aweosme :,0
7307,7307,7308,mày game đấy,0
738,738,739,1 giải,0
5370,5370,5371,fma_hòa,0
5826,5826,5827,địt_mẹ mấy thằng vàng rách,2
1414,1414,1415,bịp đập trụ,0
4960,4960,4961,geng vô hang mẹ r hả ?,1
6480,6480,6481,mày ngu,2
444,444,445,fpx kp tàu,0
4184,4184,4185,p90 = ) ),0
1275,1275,1276,"ae fan bồn lình điểm_danh , t 1",2
7938,7938,7939,báo,0
6001,6001,6002,đần thối,1
7385,7385,7386,taem toàn quái_vật . . xanh,0
4090,4090,4091,nhạc,0
6587,6587,6588,thua đấy,0
4180,4180,4181,ong_vàng thắng dupreeh thành thằng ôm mây,0
2644,2644,2645,tứ bắn đt ok nha trc chứng_minh r,0
1195,1195,1196,chuc mung baamm,0
5107,5107,5108,địt con_mẹ đánh blue máu,1
7686,7686,7687,gen vòng bảng gáy khum đội,0
7394,7394,7395,? ? ? bắt đc ad thua đc . ? atroc khoẻ kyen khoẻ,0
6703,6703,6704,tao,0
5062,5062,5063,che đc,0
4455,4455,4456,team 458,0
7701,7701,7702,peyz bố guma ngợp vcl,1
6529,6529,6530,bá_điền bl vấp,2
4892,4892,4893,,0
1226,1226,1227,2 đội giao_tranh,0
5450,5450,5451,bảo mày bu ` ` ` ` cu xong,2
877,877,878,nhàaaa,0
1131,1131,1132,entry tù vl = ) ),2
1847,1847,1848,gà_gà đánh k,0
5488,5488,5489,im,0
4561,4561,4562,tội kotl vl awesome,1
3114,3114,3115,cái anh_em ?,0
5977,5977,5978,vãi lồn,1
4390,4390,4391,sp5 15p gậy xanh . dink kout,0
3167,3167,3168,chê 500k win game,0
2655,2655,2656,khung chat toàn thái tiếng việt ha,0
2259,2259,2260,"bác gấu , kêu nhảy đại",0
6073,6073,6074,hụt,0
5717,5717,5718,ad ngáo_thế,2
6260,6260,6261,chio_vậy,0
6317,6317,6318,fl đi,0
2675,2675,2676,vải chuong,1
7507,7507,7508,ước,0
4285,4285,4286,s1mple = ) ) ) ) ),0
4936,4936,4937,mc wubi,0
7916,7916,7917,bao cát : ) ) ),0
1235,1235,1236,3 đánh 5 tè le,0
4956,4956,4957,"tốp lắc bụng , sp lắc đít dô liền .",0
4620,4620,4621,cơm kìa ngài awesome,0
3021,3021,3022,bắn saun lưng : ) ) ),0
6045,6045,6046,cjhet xong ping,0
1013,1013,1014,tuệ semi bắn vct = ) ) ),0
2320,2320,2321,vã seagames : ) ),0
2562,2562,2563,: ) ),0
2031,2031,2032,kĩ_năng khô máu wag đi,0
2092,2092,2093,bắn dị luu video gui tao hộ,0
952,952,953,m xạo,0
3078,3078,3079,bố s1mple try hard r,0
2121,2121,2122,má cứu buff fww,1
2383,2383,2384,quả ki . năng_cai,0
7783,7783,7784,duma sợ thả wukong trời,0
6113,6113,6114,mày 9 1 tao giết,2
5853,5853,5854,thằng rừng ping lắm,0
4734,4734,4735,vui,0
8071,8071,8072,cút ch ae,0
1668,1668,1669,đạt koi ko,0
4041,4041,4042,ngài road to rank 1 hả ae,0
7167,7167,7168,đua máy_cày : ) ),0
2884,2884,2885,3 mui ten,0
2306,2306,2307,nhục,0
762,762,763,fullbuy ',0
3395,3395,3396,dh don ' t pick me lss : ddd,0
3861,3861,3862,mát awesome,0
7677,7677,7678,ces lạc_quan : ) ),0
3380,3380,3381,ddảo vần,0
5344,5344,5345,dìm vãi,1
5213,5213,5214,toàn feed chủ_lực jdg đánh cc,1
5072,5072,5073,bố,0
7561,7561,7562,nhờn,0
4366,4366,4367,slark dame ?,0
6765,6765,6766,lên thủ đi,0
1803,1803,1804,fl shin r ae,0
4203,4203,4204,pick nô_lệ đi j,0
5482,5482,5483,vk lồn,1
65,65,66,đần ác,1
4903,4903,4904,"trận 1 nocturne chán vãi cặc , đánh maokai đầu ngon k",1
2032,2032,2033,kĩ_năng k có_tuổi,0
5809,5809,5810,giết,0
2363,2363,2364,pe chen đi,0
6160,6160,6161,vãi cặc đéo chat all,1
3967,3967,3968,ngài ban vy ko vy kênh ngài v ?,0
1237,1237,1238,3 game 0kill,0
3384,3384,3385,ng đọc đc comment lò_xo ng ta,0
5249,5249,5250,ko đi roam vứt,0
1699,1699,1700,định_mệnh tình_yêu - chang kimese,0
7131,7131,7132,chuẩn,0
1192,1192,1193,vl hnay onlan,1
2677,2677,2678,vai tóc ngầu,1
4408,4408,4409,swap né q cm awesome,0
6461,6461,6462,team mày,0
2377,2377,2378,pika qi,0
2648,2648,2649,tùng thể_lực r,0
3300,3300,3301,crown cheat nhi ?,0
425,425,426,stand in 2 k dám kayo,0
1564,1564,1565,gái tây,0
2849,2849,2850,18 vs 100 ? ?,0
5740,5740,5741,thằng mid fl,0
5838,5838,5839,"sorry anh_em : v tui mountain núi tui bà nà hills tui kiểu ẩn_dụ tí , anh_em căng , vui_vẻ !",0
1703,1703,1704,dnp chủ_yếu call team,0
7792,7792,7793,mùa ...,0
2983,2983,2984,anh flyfly đấm mồm ngài awesome,0
599,599,600,nhắc_vậy mấy a nhột cãi mệt,0
7606,7606,7607,bọn spam dume bl nuốt nổi,2
6574,6574,6575,chovy mập_vậy,2
7810,7810,7811,"nhã 2 ván , câu view gam ảo_tưởng . é é é",0
6281,6281,6282,chó ngu mid ping hộ bố mày cáii,2
3281,3281,3282,cm ss úp cay vl = ) ),1
475,475,476,fntoac,0
5301,5301,5302,mày chat cấu máu,0
3522,3522,3523,g2 bắn . lineup jackz kennys đồ awesome,0
7820,7820,7821,tẩy tp kìa : d,0
1035,1035,1036,hi_vọng cặp bắn 3 map,0
3397,3397,3398,đi cớm kìa ngài,0
3147,3147,3148,cất tủ giùm awesome,0
1867,1867,1868,giải đầu_tư,0
2527,2527,2528,tên khu dân_cư trường_học,0
4994,4994,4995,khả_năng e nguyện leo rank giúp đồng_đội nản lắm,0
6122,6122,6123,an_toàn tí rừng,0
4270,4270,4271,rpk ?,0
351,351,352,mạnh_dạn đoán 13 - 5 nip,0
690,690,691,vandal đạn r,0
5423,5423,5424,sút_vật,1
6788,6788,6789,thất_vọng áo trắng,0
4638,4638,4639,update w / l @ quocthaiak,0
5505,5505,5506,,0
838,838,839,chất,0
2960,2960,2961,"am đóng santa ac , xong",0
6992,6992,6993,mở hòm key dư kia xog,0
6148,6148,6149,top swap bro,0
1096,1096,1097,a vas oi chi e bao noi hoi nhieu,0
73,73,74,clm pr,1
6659,6659,6660,tao ap,0
627,627,628,coi giải : v,0
938,938,939,màu xám khói đi lộk,0
1923,1923,1924,hết_hồn lai bâng,0
4683,4683,4684,vé tiền anh_em cẩu_thả ?,0
6288,6288,6289,msi việt nam 1 slot hả ae,0
525,525,526,! caster,0
2605,2605,2606,toàn trẻ trâu ko bắn ik mấy bé,2
2272,2272,2273,ngu thoai mn = ) ),0
6117,6117,6118,mid đấy,0
2905,2905,2906,5 khẩu gay gunb cay vcl : ) ) ),1
3165,3165,3166,cháy,0
166,166,167,vl chim,1
921,921,922,m khoe,0
7136,7136,7137,trận chs skin đi,0
1033,1033,1034,@ nana ego mãi cháy,0
1318,1318,1319,ari,0
4749,4749,4750,world of tank,0
2162,2162,2163,mấy h đánh chung_kết mg,0
6170,6170,6171,thua,0
3816,3816,3817,lùa + 1 agi,0
2116,2116,2117,m500 lạ_vậy,0
5698,5698,5699,,0
4421,4421,4422,tăng_tốc chạy farm .,0
2493,2493,2494,t đồ r,2
4844,4844,4845,bớt xàm lồn đi,1
5625,5625,5626,tao sợ mày lắm,0
2697,2697,2698,váy ly đẹp,0
4759,4759,4760,"xbet lương bro , trc đấy 3k usd",0
5553,5553,5554,múa kìa,0
23,23,24,"vinhcs chán vl , lck lpl chuyên_môn , văn tùng phân_tích sâu = ) )",2
4584,4584,4585,trắng,0
5769,5769,5770,đánh dốt,1
363,363,364,derke ae,0
6232,6232,6233,zac,0
472,472,473,@ kd nt hôm,0
7442,7442,7443,ez tam_hợp h yếu,1
733,733,734,slot,0
4999,4999,5000,mấy tg se lạc_quan mấy tg chân đèn_vậy,0
1570,1570,1571,cố bé iuuu,0
7088,7088,7089,cháy,0
8046,8046,8047,con kindred phế,0
4573,4573,4574,tp ngu vcc,2
1475,1475,1476,c4 bắn king of solo thua nero,0
6766,6766,6767,spam_ác,0
4237,4237,4238,bắn mấy ngáo : ) ),1
3356,3356,3357,danh dc nua ma co gang lam gi,0
4247,4247,4248,rap siếc fap,0
8053,8053,8054,oner mấy bữa đánh tập ko đi,0
2995,2995,2996,astralis vô địckkkk 🥲,0
